objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dor001,"Caliban, Prospero and Miranda",1784–88,yes,Thomas Rowlandson; John Hamilton Mortimer; William Shakespeare,,"Scene from the Tempest: Caliban, Prospero and Miranda",,allusion,New York City,,,,The Met Museum,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/6/6a/Caliban%2C_Prospero_and_Miranda_%28Shakespeare%27s_Tempest%29_MET_DP828462.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Caliban%2C_Prospero_and_Miranda_%28Shakespeare%27s_Tempest%29_MET_DP828462.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Caliban%2C_Prospero_and_Miranda_%28Shakespeare%27s_Tempest%29_MET_DP828462.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Caliban%2C_Prospero_and_Miranda_%28Shakespeare%27s_Tempest%29_MET_DP828462.jpg,
dor002,The Grosvenor House,1872,yes,,,"Grosvenor House, front screen viewed from Upper Grosvenor Street. The two pedimented archways either end of the screen are reproduced on the roof of the 1920s Grosvenor House Hotel which now stands on the site.",,location,London,51.509778,-0.155472,,"Walford, Edward. Old & New London: A Narrative of Its History, Its People & Its Places","Newton, Diana; Lumby, Jonathan, The Grosvenors of Eaton, Eccleston, Cheshire: Jennet Publications",,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/en/1/17/GrosvenorHouse.jpg,https://upload.wikimedia.org/wikipedia/en/1/17/GrosvenorHouse.jpg,https://upload.wikimedia.org/wikipedia/en/1/17/GrosvenorHouse.jpg,https://upload.wikimedia.org/wikipedia/en/1/17/GrosvenorHouse.jpg,
dor003,Narcissus at the Source,1597-1599,yes,Michelangelo Merisi da Caravaggio,,Narcissus is depicted in this Caraviggio painting looking at his own reflection in the pond,,allusion,Rome,,,,Galleria Nazionale d'Arte Antica,Galleria Nazionale d'Arte Antica,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Narcissus-Caravaggio_%281594-96%29_edited.jpg/1920px-Narcissus-Caravaggio_%281594-96%29_edited.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Narcissus-Caravaggio_%281594-96%29_edited.jpg/1920px-Narcissus-Caravaggio_%281594-96%29_edited.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Narcissus-Caravaggio_%281594-96%29_edited.jpg/1920px-Narcissus-Caravaggio_%281594-96%29_edited.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Narcissus-Caravaggio_%281594-96%29_edited.jpg/1920px-Narcissus-Caravaggio_%281594-96%29_edited.jpg,
dor004,Bust of Antinous,,,,,Marble bust of Antinous from the Villa Adriana in Tivoli.,,allusion,Tivoli,,,,Wikipedia,Villa Adriana,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/5/52/Bust_Antinous_Hermitage_GR-4220_n1.jpeg,https://upload.wikimedia.org/wikipedia/commons/5/52/Bust_Antinous_Hermitage_GR-4220_n1.jpeg,https://upload.wikimedia.org/wikipedia/commons/5/52/Bust_Antinous_Hermitage_GR-4220_n1.jpeg,,
dor005,"Waldszenen (Forest Scenes), Op 82",1848–1849,,Robert Schumann; Gregor Quendel,,"Waldszenen (Forest Scenes), Op. 82, is a set of nine short solo piano pieces composed by Robert Schumann in 1848–1849, first published in 1850–1851 in Leipzig by Bartholf Senff.",,allusion,Leipzig,,,,CLASSICALS.DE EXCLUSIVE RECORDING,https://www.classicals.de/,,,"Composition in public domain, sound recording in copyright, CC BY NC 4.0",Found on classicals.de,audio,audio/mp3,,,,audio,https://library.classicalmusicarchive.org/music/HM%20Collection/Schumann/Classicals.de%20-%20Schumann%20-%20Waldszenen%20(Forest%20Scenes)%2C%20Op.%2082%20-%20No.%201%2C%20Eintritt%20(Entry).mp3,https://upload.wikimedia.org/wikipedia/commons/2/2c/Waldszenen-Tiltelbild.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Waldszenen-Tiltelbild.jpg,,
dor006,Whitechapel,1905,,,,"Whitechapel High Street, and St Mary Matfelon, in 1905",,location,London,51.5164,-0.0692,,Wikipedia,,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/6/66/Whitechapel_High_Street_1905.JPG,https://upload.wikimedia.org/wikipedia/commons/6/66/Whitechapel_High_Street_1905.JPG,https://upload.wikimedia.org/wikipedia/commons/6/66/Whitechapel_High_Street_1905.JPG,,
dor007,The Orleans House,2015,,Matt Brown,,Photo of the Orleans House Gallery,,location,London,51.447323,-0.318755,,Flickr,,,,Creative Commons Attribution 2.0 Generic,"Orleans House Gallery by Matt Brown, CC-BY SA 2.0",Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/7/72/Orleans_House_Gallery_%2816944530880%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Orleans_House_Gallery_%2816944530880%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Orleans_House_Gallery_%2816944530880%29.jpg,,
dor008,Curzon Street,23 December 2008,,Basher Eyre,,Looking westwards along Curzon Street,,location,London,,,,Geograph,,,,Creative Commons Attribution-Share Alike 2.0 Generic,"Looking westward along Curzon Street by Basher Eye, CC-BY SA 2.0",Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/2/29/Looking_westwards_along_Curzon_Street_-_geograph.org.uk_-_1089822.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Looking_westwards_along_Curzon_Street_-_geograph.org.uk_-_1089822.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Looking_westwards_along_Curzon_Street_-_geograph.org.uk_-_1089822.jpg,,
dor009,De Profundis,1897,,Oscar Wilde,,"Letter written by Wilde to his friend and lover Lord Alfred ""Bosie"" Douglas during his imprisonment in Reading Gaol",,connection,London,,,,Project Gutenberg,,,,Public Doman,Retrieved from Project Gutenberg,Text,,,,,record,https://www.gutenberg.org/files/921/921-h/921-h.htm,https://upload.wikimedia.org/wikipedia/commons/e/e8/Oscar_Wilde_by_Sarony_1882_01.jpg,,,
dor010,Albany,1830,yes,Thomas Shepherd,,Drawing of the Albany.,,location,London,51.508889,-0.138611,,Wikipedia,,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/c/ce/The_Albany_by_Thomas_Shepherd.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/The_Albany_by_Thomas_Shepherd.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/The_Albany_by_Thomas_Shepherd.jpg,,
